CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
NTPC,Power,NTPC-200126,"SPARE-THRUST BEARING, Stainless Steel, SIZE 22208 300#",Bearings,Thrust Bearing,ABMA 9,Stainless Steel,22208,,,,NOS,Timken,TIM-TB-22208-21,Korba STPS,Active,10180,2025-02-23,20887.63
Coal India,Mining,CIL-400129,"STORES ITEM THRUST BEARING, Stainless Steel, SIZE 22208 150#",Bearings,Thrust Bearing,ABMA 9,Stainless Steel,22208,,,,NOS,Timken,TIM-TB-22208-57,Korba Coalfields,Active,7863,2024-06-23,22455.88
HPCL,Oil & Gas,HPCL-120135,IND.100 mm MECHANICAL SEAL - NBR 150#,Seals,Mechanical Seal,ASME B16.20,NBR,100 mm,,,PTFE Lined,NOS,Sealol,SEA-MS-100mm-26,Bhatinda Refinery,Active,13146,2025-05-21,16875.7
NTPC,Power,NTPC-200127,STORES ITEM MECHANICAL SEAL 600# NBR 100 mm,Seals,Mechanical Seal,ASME B16.20,NBR,100 mm,,,PTFE Lined,NOS,Sealol,SEA-MS-100mm-67,Vindhyachal STPS,Active,3962,2025-12-18,17172.34
SAIL,Steel,SAIL-300138,SPARE-415V 100A XLPE CABLE - XLPE Insulated 600#,Electrical,XLPE Cable,IS 13947,XLPE Insulated,415V 100A,100 m,,,MTR,Crompton Greaves,CROGRE-XC-415V100A-39,Bhilai Steel Plant,Active,11441,2025-11-19,56017.27
ONGC,Oil & Gas,ONGC-100137,SPARE-XLPE Cable 415V 100A XLPE Insulated 300#,Electrical,XLPE Cable,IS 13947,XLPE Insulated,415V 100A,100 m,,,MTR,Crompton Greaves,CROGRE-XC-415V100A-17,Rajahmundry Asset,Active,4419,2024-03-26,60941.54
NMDC,Mining,NMDC-410131,"Ball Valve, ASTM A351 CF8M, SIZE 1 in 150#",Valves,Ball Valve,API 600,ASTM A351 CF8M,1 in,,1 in,Zinc Plated,NOS,Audco,AUD-BV-1in-44,Kirandul Complex,Active,5471,2025-11-11,48191.97
BHEL,Heavy Engineering,BHEL-500130,STORES ITEM 1 in Ball Valve - ASTM A216 WCB 300#,Valves,Ball Valve,API 600,ASTM A216 WCB,1 in,,1 in,Zinc Plated,NOS,Audco,AUD-BV-1in-24,Hazira Complex,Slow-Moving,3868,2024-08-03,49990.2
NTPC,Power,NTPC-200128,STORES ITEM DN 80 Gear Pump - Carbon Steel 150#,Pumps,Gear Pump,API 610,Carbon Steel,DN 80,,DN 80,,SET,Kirloskar,KIR-GP-DN80-34,Ramagundam STPS,Active,13953,2024-11-25,114810.7
SAIL,Steel,SAIL-300139,IND.GEAR PUMP DN 80 Alloy Steel 600#,Pumps,Gear Pump,API 610,Alloy Steel,DN 80,,DN 80,,SET,Kirloskar,KIR-GP-DN80-28,Durgapur Steel Plant,Active,10778,2025-11-30,122933.24
Coal India,Mining,CIL-400130,SPARE-GATE VLV 300# SS316 1/2 in,Valves,Gate Valve,ASME B16.34,SS316,1/2 in,,,,NOS,L&T Valves,L&TVAL-GV-1-2in-41,Talcher Coalfields,Slow-Moving,5277,2025-04-06,53419.21
BHEL,Heavy Engineering,BHEL-500131,SPARE-GATE VLV 600# SS304 1/2 in,Valves,Gate Valve,ASME B16.34,SS304,1/2 in,,,,NOS,L&T Valves,L&TVAL-GV-1-2in-70,Bhopal Complex,Active,5831,2025-02-23,62315.47
NMDC,Mining,NMDC-410132,SPARE-65 mm Oil Seal - PTFE 600#,Seals,Oil Seal,ASME B16.20,PTFE,65 mm,,65 mm,,NOS,Chesterton,CHE-OS-65mm-02,Donimalai Iron Ore Mine,Active,318,2025-02-04,13165.71
HPCL,Oil & Gas,HPCL-120136,IND.OIL SEAL 150# PTFE 65 mm,Seals,Oil Seal,ASME B16.20,PTFE,65 mm,,65 mm,,NOS,Chesterton,CHE-OS-65mm-21,Visakh Refinery,Active,11907,2025-05-26,12804.09
IOCL,Oil & Gas,IOCL-110116,"SPARE-GLOBE VALVE, ASTM A216 WCB, SIZE DN 50 150#",Valves,Globe Valve,API 600,ASTM A216 WCB,DN 50,,,,NOS,Audco,AUD-GV-DN50-40,Panipat Refinery,Active,9865,2024-05-12,70824.63
BHEL,Heavy Engineering,BHEL-500132,STORES ITEM DN 50 GLOBE VALVE - ASTM A351 CF8M 600#,Valves,Globe Valve,API 600,ASTM A351 CF8M,DN 50,,,,NOS,Audco,AUD-GV-DN50-09,Ranipet Complex,Active,5394,2025-12-05,72970.86
NMDC,Mining,NMDC-410133,IND.4C x 25 sq mm SWITCHGEAR PANEL - XLPE Insulated 150#,Electrical,Switchgear Panel,IS 13947,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,Crompton Greaves,CROGRE-SP-4Cx25sqmm-31,Kirandul Complex,Slow-Moving,5185,2025-06-07,111417.64
NTPC,Power,NTPC-200129,SWITCHGEAR PANEL 300# XLPE Insulated 4C x 25 sq mm,Electrical,Switchgear Panel,IS 13947,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,Crompton Greaves,CROGRE-SP-4Cx25sqmm-78,Dadri Plant,Slow-Moving,13014,2024-10-09,107591.07
NMDC,Mining,NMDC-410134,STORES ITEM Reciprocating Pump 300# Cast Iron DN 100,Pumps,Reciprocating Pump,IS 1520,Cast Iron,DN 100,,DN 100,,SET,KSB,KSB-RP-DN100-69,Kirandul Complex,Active,1042,2024-07-18,66513.85
BHEL,Heavy Engineering,BHEL-500133,"RECIPROCATING PUMP, Cast Iron, SIZE DN 100 150#",Pumps,Reciprocating Pump,IS 1520,Cast Iron,DN 100,,DN 100,,SET,KSB,KSB-RP-DN100-19,Trichy Complex,Active,7667,2024-05-31,58182.07
SAIL,Steel,SAIL-300140,SPARE-O-RING 150# NBR 2 in,Seals,O-Ring,API 682,NBR,2 in,,,,NOS,Chesterton,CHE-O-2in-71,Durgapur Steel Plant,Slow-Moving,6194,2025-07-17,7177.64
HPCL,Oil & Gas,HPCL-120137,O-RING 2 in NBR 300#,Seals,O-Ring,API 682,NBR,2 in,,,,NOS,Chesterton,CHE-O-2in-83,Mumbai Refinery,Slow-Moving,965,2025-12-31,7492.28
NMDC,Mining,NMDC-410135,IND.Hex Nut 300# Carbon Steel M12 x 50,Fasteners,Hex Nut,IS 1367,Carbon Steel,M12 x 50,50 mm,,Zinc Plated,NOS,Unbrako,UNB-HN-M12x50-97,Donimalai Iron Ore Mine,Active,10565,2025-02-09,465.86
BHEL,Heavy Engineering,BHEL-500134,HEX NUT M12 x 50 Alloy Steel 150#,Fasteners,Hex Nut,IS 1367,Alloy Steel,M12 x 50,50 mm,,Zinc Plated,NOS,Unbrako,UNB-HN-M12x50-30,Bhopal Complex,Active,13859,2025-12-15,469.32
ONGC,Oil & Gas,ONGC-100138,DN 100 RECIPROCATING PUMP - SS316 300#,Pumps,Reciprocating Pump,API 610,SS316,DN 100,,DN 100,,SET,WPIL,WPI-RP-DN100-71,Sivasagar Asset,Active,9597,2025-05-18,84198.7
NMDC,Mining,NMDC-410136,IND.DN 100 RECIPROCATING PUMP - SS304 150#,Pumps,Reciprocating Pump,API 610,SS304,DN 100,,DN 100,,SET,WPIL,WPI-RP-DN100-69,Bailadila Iron Ore Mine,Active,2669,2024-07-25,91154.0
IOCL,Oil & Gas,IOCL-110117,IND.FLANGE DN 150 SS316L 300#,Pipes & Fittings,Flange,ASTM A106,SS316L,DN 150,1000 mm,DN 150,,MTR,Maharashtra Seamless,MAHSEA-F-DN150-26,Gujarat Refinery,Active,940,2025-10-25,3106.16
ONGC,Oil & Gas,ONGC-100139,STORES ITEM DN 150 FLANGE - SS316L 600#,Pipes & Fittings,Flange,ASTM A106,SS316L,DN 150,1000 mm,DN 150,,MTR,Maharashtra Seamless,MAHSEA-F-DN150-43,Ankleshwar Asset,Active,6452,2025-09-08,2642.24
BHEL,Heavy Engineering,BHEL-500135,STORES ITEM PUMP CENTRIF 2 in x 1.5 in Cast Iron 300#,Pumps,Centrifugal Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,Kirloskar,KIR-CP-2inx1.5in-13,Trichy Complex,Obsolete,12204,2025-01-16,77000.26
NMDC,Mining,NMDC-410137,IND.PUMP CENTRIF 2 in x 1.5 in Cast Iron 600#,Pumps,Centrifugal Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,Kirloskar,KIR-CP-2inx1.5in-39,Bailadila Iron Ore Mine,Active,10481,2025-11-29,82066.85
HPCL,Oil & Gas,HPCL-120138,IND.BALL BRG 30205 Chrome Steel 300#,Bearings,Ball Bearing,ABMA 9,Chrome Steel,30205,,,,NOS,NBC Bearings,NBCBEA-BB-30205-20,Bhatinda Refinery,Active,8199,2025-03-18,12589.91
Coal India,Mining,CIL-400131,BRG BALL 30205 Chrome Steel 150#,Bearings,Ball Bearing,ABMA 9,Chrome Steel,30205,,,,NOS,NBC Bearings,NBCBEA-BB-30205-91,Singareni Collieries,Active,4505,2024-07-11,14226.87
HPCL,Oil & Gas,HPCL-120139,RTD Sensor 300# Brass 4-20 mA,Instrumentation,RTD Sensor,ASME B40.100,Brass,4-20 mA,,,,NOS,Honeywell,HON-RS-4-20mA-70,Visakh Refinery,Active,10524,2024-12-21,29104.93
ONGC,Oil & Gas,ONGC-100140,SPARE-4-20 mA RTD Sensor - Brass 600#,Instrumentation,RTD Sensor,ASME B40.100,Brass,4-20 mA,,,,NOS,Honeywell,HON-RS-4-20mA-99,Rajahmundry Asset,Active,7123,2024-03-29,29170.86
SAIL,Steel,SAIL-300141,"SPARE-Oil Seal, PTFE, SIZE 50 mm 600#",Seals,Oil Seal,DIN 3760,PTFE,50 mm,,,,NOS,Chesterton,CHE-OS-50mm-27,Rourkela Steel Plant,Obsolete,8962,2024-02-12,11164.3
NTPC,Power,NTPC-200130,STORES ITEM OIL SEAL 50 mm PTFE 150#,Seals,Oil Seal,DIN 3760,PTFE,50 mm,,,,NOS,Chesterton,CHE-OS-50mm-63,Vindhyachal STPS,Active,13474,2025-02-06,12421.23
NTPC,Power,NTPC-200131,SPARE-Gear Pump 2 in x 1.5 in SS316 600#,Pumps,Gear Pump,API 610,SS316,2 in x 1.5 in,,,,SET,Kirloskar,KIR-GP-2inx1.5in-97,Ramagundam STPS,Obsolete,3179,2024-01-25,20838.53
BHEL,Heavy Engineering,BHEL-500136,SPARE-GEAR PUMP 150# SS304 2 in x 1.5 in,Pumps,Gear Pump,API 610,SS304,2 in x 1.5 in,,,,SET,Kirloskar,KIR-GP-2inx1.5in-09,Hazira Complex,Obsolete,10889,2025-02-16,17915.86
BHEL,Heavy Engineering,BHEL-500137,CIRCUIT BREAKER 300# Aluminium 415V 100A,Electrical,Circuit Breaker,IS 13947,Aluminium,415V 100A,100 m,,,MTR,Havells,HAV-CB-415V100A-50,Ranipet Complex,Obsolete,11270,2025-05-17,5369.97
NTPC,Power,NTPC-200132,SPARE-415V 100A Circuit Breaker - Aluminium 150#,Electrical,Circuit Breaker,IS 13947,Aluminium,415V 100A,100 m,,,MTR,Havells,HAV-CB-415V100A-12,Korba STPS,Active,5577,2024-09-04,5895.98
BHEL,Heavy Engineering,BHEL-500138,IND.SPIRAL WOUND GASKET 50 mm Graphite 600#,Seals,Spiral Wound Gasket,DIN 3760,Graphite,50 mm,,50 mm,,KG,Chesterton,CHE-SWG-50mm-90,Bhopal Complex,Active,8096,2024-06-27,15469.58
NTPC,Power,NTPC-200133,50 mm SPIRAL WOUND GASKET - Graphite 300#,Seals,Spiral Wound Gasket,DIN 3760,Graphite,50 mm,,50 mm,,KG,Chesterton,CHE-SWG-50mm-15,Dadri Plant,Active,143,2025-01-31,16857.13
ONGC,Oil & Gas,ONGC-100141,STORES ITEM Hex Nut 600# Carbon Steel M20 x 80,Fasteners,Hex Nut,ASTM A193,Carbon Steel,M20 x 80,80 mm,,None,KG,Unbrako,UNB-HN-M20x80-73,Uran Plant,Slow-Moving,7094,2024-01-22,1359.31
IOCL,Oil & Gas,IOCL-110118,"HEX NUT, Alloy Steel, SIZE M20 x 80 150#",Fasteners,Hex Nut,ASTM A193,Alloy Steel,M20 x 80,80 mm,,None,KG,Unbrako,UNB-HN-M20x80-90,Mathura Refinery,Active,10940,2025-01-01,1185.66
NTPC,Power,NTPC-200134,M10 x 40 BOLT HEX - Grade 10.9 300#,Fasteners,Hex Bolt,IS 1367,Grade 10.9,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-HB-M10x40-09,Dadri Plant,Active,2464,2024-11-03,606.3
BHEL,Heavy Engineering,BHEL-500139,STORES ITEM Hex Bolt 150# Grade 8.8 M10 x 40,Fasteners,Hex Bolt,IS 1367,Grade 8.8,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-HB-M10x40-15,Hazira Complex,Active,4042,2025-05-06,600.64
IOCL,Oil & Gas,IOCL-110119,SPIRAL WOUND GASKET 600# PTFE 2 in,Seals,Spiral Wound Gasket,API 682,PTFE,2 in,,,,NOS,Chesterton,CHE-SWG-2in-62,Panipat Refinery,Slow-Moving,5976,2024-08-18,9881.67
ONGC,Oil & Gas,ONGC-100142,SPIRAL WOUND GASKET 150# PTFE 2 in,Seals,Spiral Wound Gasket,API 682,PTFE,2 in,,,,NOS,Chesterton,CHE-SWG-2in-04,Sivasagar Asset,Active,14253,2024-08-18,11424.45
ONGC,Oil & Gas,ONGC-100143,STORES ITEM HEX NUT 150# SS304 M10 x 40,Fasteners,Hex Nut,ASTM A193,SS304,M10 x 40,40 mm,,Zinc Plated,NOS,Precision Fasteners,PREFAS-HN-M10x40-48,Mumbai Offshore Complex,Active,5644,2024-11-06,2496.71
IOCL,Oil & Gas,IOCL-110120,SPARE-M10 x 40 HEX NUT - SS316 600#,Fasteners,Hex Nut,ASTM A193,SS316,M10 x 40,40 mm,,Zinc Plated,NOS,Precision Fasteners,PREFAS-HN-M10x40-89,Mathura Refinery,Active,5660,2025-06-29,2489.37
BHEL,Heavy Engineering,BHEL-500140,DN 100 REDUCER - ASTM A106 Gr B 300#,Pipes & Fittings,Reducer,ASME B16.9,ASTM A106 Gr B,DN 100,6 m,150 mm,PTFE Lined,MTR,ISMT,ISM-R-DN100-36,Ranipet Complex,Slow-Moving,11327,2024-10-29,13624.58
IOCL,Oil & Gas,IOCL-110121,STORES ITEM DN 100 Reducer - ASTM A106 Gr B 150#,Pipes & Fittings,Reducer,ASME B16.9,ASTM A106 Gr B,DN 100,6 m,150 mm,PTFE Lined,MTR,ISMT,ISM-R-DN100-67,Mathura Refinery,Active,12992,2025-10-10,14385.85
IOCL,Oil & Gas,IOCL-110122,IND.3 in x 2 in GEAR PUMP - Duplex Steel 600#,Pumps,Gear Pump,ISO 2858,Duplex Steel,3 in x 2 in,,,Zinc Plated,SET,Kirloskar,KIR-GP-3inx2in-09,Panipat Refinery,Obsolete,9071,2025-08-20,108679.52
BHEL,Heavy Engineering,BHEL-500141,GEAR PUMP 3 in x 2 in Duplex Steel 150#,Pumps,Gear Pump,ISO 2858,Duplex Steel,3 in x 2 in,,,Zinc Plated,SET,Kirloskar,KIR-GP-3inx2in-77,Ranipet Complex,Active,2339,2024-07-04,108634.14
IOCL,Oil & Gas,IOCL-110123,"IND.THRUST BEARING, AISI 52100, SIZE 22208 600#",Bearings,Thrust Bearing,ISO 15,AISI 52100,22208,,,,NOS,NBC Bearings,NBCBEA-TB-22208-06,Gujarat Refinery,Obsolete,11839,2024-10-10,2687.77
ONGC,Oil & Gas,ONGC-100144,"STORES ITEM Thrust Bearing, AISI 52100, SIZE 22208 150#",Bearings,Thrust Bearing,ISO 15,AISI 52100,22208,,,,NOS,NBC Bearings,NBCBEA-TB-22208-97,Uran Plant,Active,9620,2024-11-20,2652.32
IOCL,Oil & Gas,IOCL-110124,"IND.BALL VLV, WCB, SIZE 6 in 150#",Valves,Ball Valve,API 600,WCB,6 in,,,PTFE Lined,NOS,Fouress,FOU-BV-6in-36,Gujarat Refinery,Active,14154,2025-09-06,7061.2
SAIL,Steel,SAIL-300142,IND.BV 300# WCB 6 in,Valves,Ball Valve,API 600,WCB,6 in,,,PTFE Lined,NOS,Fouress,FOU-BV-6in-92,Bokaro Steel Plant,Slow-Moving,12349,2025-01-24,7002.79
SAIL,Steel,SAIL-300143,IND.0-100 bar RTD SENSOR - Brass 300#,Instrumentation,RTD Sensor,ISA 75.01,Brass,0-100 bar,,,,NOS,Emerson,EME-RS-0-100bar-19,Durgapur Steel Plant,Active,5198,2024-12-27,52990.33
HPCL,Oil & Gas,HPCL-120140,STORES ITEM RTD Sensor 150# Brass 0-100 bar,Instrumentation,RTD Sensor,ISA 75.01,Brass,0-100 bar,,,,NOS,Emerson,EME-RS-0-100bar-04,Visakh Refinery,Active,5705,2025-01-03,50633.63
NTPC,Power,NTPC-200135,Oil Seal 100 mm Graphite 600#,Seals,Oil Seal,API 682,Graphite,100 mm,,100 mm,,NOS,Flowserve,FLO-OS-100mm-68,Korba STPS,Active,3795,2024-04-02,11315.37
IOCL,Oil & Gas,IOCL-110125,IND.OIL SEAL 100 mm Graphite 300#,Seals,Oil Seal,API 682,Graphite,100 mm,,100 mm,,NOS,Flowserve,FLO-OS-100mm-58,Haldia Refinery,Active,3097,2024-08-22,10071.11
BHEL,Heavy Engineering,BHEL-500142,"Centrifugal Pump, Cast Iron, SIZE DN 80 150#",Pumps,Centrifugal Pump,IS 1520,Cast Iron,DN 80,,DN 80,,SET,WPIL,WPI-CP-DN80-09,Hazira Complex,Slow-Moving,9117,2025-01-12,103127.34
IOCL,Oil & Gas,IOCL-110126,"IND.Centrifugal Pump, Cast Iron, SIZE DN 80 300#",Pumps,Centrifugal Pump,IS 1520,Cast Iron,DN 80,,DN 80,,SET,WPIL,WPI-CP-DN80-22,Haldia Refinery,Active,2786,2024-02-19,106851.63
Coal India,Mining,CIL-400132,SWITCHGEAR PANEL 150# Aluminium 4C x 25 sq mm,Electrical,Switchgear Panel,IS 13947,Aluminium,4C x 25 sq mm,,,,MTR,ABB,ABB-SP-4Cx25sqmm-09,Talcher Coalfields,Active,13138,2025-05-16,89995.37
SAIL,Steel,SAIL-300144,SPARE-SWITCHGEAR PANEL 4C x 25 sq mm Aluminium 600#,Electrical,Switchgear Panel,IS 13947,Aluminium,4C x 25 sq mm,,,,MTR,ABB,ABB-SP-4Cx25sqmm-97,Bokaro Steel Plant,Active,646,2024-07-30,92555.95
HPCL,Oil & Gas,HPCL-120141,"Level Transmitter, Brass, SIZE 1/2 in NPT 150#",Instrumentation,Level Transmitter,ISA 75.01,Brass,1/2 in NPT,,,,NOS,Honeywell,HON-LT-1-2inNPT-97,Bhatinda Refinery,Active,4997,2025-02-09,87500.61
IOCL,Oil & Gas,IOCL-110127,SPARE-1/2 in NPT Level Transmitter - Brass 600#,Instrumentation,Level Transmitter,ISA 75.01,Brass,1/2 in NPT,,,,NOS,Honeywell,HON-LT-1-2inNPT-60,Barauni Refinery,Active,891,2024-09-08,88193.65
NTPC,Power,NTPC-200136,"Globe Valve, SS304, SIZE DN 100 300#",Valves,Globe Valve,ASME B16.34,SS304,DN 100,,DN 100,Zinc Plated,NOS,Leader Valves,LEAVAL-GV-DN100-25,Vindhyachal STPS,Active,11700,2025-07-29,43333.78
BHEL,Heavy Engineering,BHEL-500143,STORES ITEM GLOBE VALVE 600# SS316 DN 100,Valves,Globe Valve,ASME B16.34,SS316,DN 100,,DN 100,Zinc Plated,NOS,Leader Valves,LEAVAL-GV-DN100-43,Ranipet Complex,Active,884,2025-06-13,42920.0
Coal India,Mining,CIL-400133,"CONTROL VALVE, LCB, SIZE 1 in 600#",Valves,Control Valve,BS 1873,LCB,1 in,,,None,NOS,KSB,KSB-CV-1in-19,Korba Coalfields,Active,3658,2024-02-12,31242.76
NTPC,Power,NTPC-200137,1 in Control Valve - LCB 150#,Valves,Control Valve,BS 1873,LCB,1 in,,,None,NOS,KSB,KSB-CV-1in-54,Ramagundam STPS,Obsolete,3500,2024-01-01,29923.57
SAIL,Steel,SAIL-300145,IND.Mechanical Seal 65 mm Graphite 300#,Seals,Mechanical Seal,API 682,Graphite,65 mm,,65 mm,None,NOS,Flowserve,FLO-MS-65mm-74,Durgapur Steel Plant,Active,13736,2025-08-26,17442.48
BHEL,Heavy Engineering,BHEL-500144,"Mechanical Seal, Graphite, SIZE 65 mm 600#",Seals,Mechanical Seal,API 682,Graphite,65 mm,,65 mm,None,NOS,Flowserve,FLO-MS-65mm-66,Bhopal Complex,Obsolete,4970,2024-09-20,15932.56
Coal India,Mining,CIL-400134,STORES ITEM RECIPROCATING PUMP 2 in x 1.5 in SS316 300#,Pumps,Reciprocating Pump,ISO 2858,SS316,2 in x 1.5 in,,,,SET,WPIL,WPI-RP-2inx1.5in-21,Korba Coalfields,Active,13403,2025-03-18,49490.42
HPCL,Oil & Gas,HPCL-120142,"IND.RECIPROCATING PUMP, SS304, SIZE 2 in x 1.5 in 600#",Pumps,Reciprocating Pump,ISO 2858,SS304,2 in x 1.5 in,,,,SET,WPIL,WPI-RP-2inx1.5in-40,Mumbai Refinery,Active,6690,2025-03-16,56075.03
ONGC,Oil & Gas,ONGC-100145,SPARE-CIRCUIT BREAKER 415V 100A XLPE Insulated 150#,Electrical,Circuit Breaker,IS 13947,XLPE Insulated,415V 100A,100 m,,,MTR,Siemens,SIE-CB-415V100A-64,Sivasagar Asset,Active,585,2024-05-16,49772.34
NMDC,Mining,NMDC-410138,STORES ITEM Circuit Breaker 300# XLPE Insulated 415V 100A,Electrical,Circuit Breaker,IS 13947,XLPE Insulated,415V 100A,100 m,,,MTR,Siemens,SIE-CB-415V100A-43,Donimalai Iron Ore Mine,Obsolete,10115,2024-01-01,49934.77
NMDC,Mining,NMDC-410139,STORES ITEM Thrust Bearing 150# Stainless Steel 22208,Bearings,Thrust Bearing,ABMA 9,Stainless Steel,22208,,,,NOS,SKF,SKF-TB-22208-21,Donimalai Iron Ore Mine,Active,574,2025-02-06,2403.93
IOCL,Oil & Gas,IOCL-110128,IND.Thrust Bearing 22208 Stainless Steel 600#,Bearings,Thrust Bearing,ABMA 9,Stainless Steel,22208,,,,NOS,SKF,SKF-TB-22208-38,Haldia Refinery,Active,3499,2024-09-03,2641.0
BHEL,Heavy Engineering,BHEL-500145,STORES ITEM Ball Bearing 6304 Chrome Steel 600#,Bearings,Ball Bearing,ABMA 9,Chrome Steel,6304,,,,NOS,SKF,SKF-BB-6304-89,Bhopal Complex,Active,10606,2025-11-15,1025.45
ONGC,Oil & Gas,ONGC-100146,SPARE-BALL BRG 300# Chrome Steel 6304,Bearings,Ball Bearing,ABMA 9,Chrome Steel,6304,,,,NOS,SKF,SKF-BB-6304-45,Ankleshwar Asset,Active,13362,2025-05-24,1044.08
NMDC,Mining,NMDC-410140,STORES ITEM Stud Bolt M24 x 100 Grade B7 300#,Fasteners,Stud Bolt,ASME B18.2.1,Grade B7,M24 x 100,100 mm,,Zinc Plated,NOS,Unbrako,UNB-SB-M24x100-43,Donimalai Iron Ore Mine,Active,8165,2024-10-11,2848.49
IOCL,Oil & Gas,IOCL-110129,IND.M24 x 100 Stud Bolt - Grade B7 150#,Fasteners,Stud Bolt,ASME B18.2.1,Grade B7,M24 x 100,100 mm,,Zinc Plated,NOS,Unbrako,UNB-SB-M24x100-79,Haldia Refinery,Active,13555,2025-05-28,2973.5
NTPC,Power,NTPC-200138,"STORES ITEM REDUCER, Alloy Steel, SIZE 2 in 600#",Pipes & Fittings,Reducer,API 5L,Alloy Steel,2 in,,50 mm,None,MTR,Jindal Pipes,JINPIP-R-2in-06,Dadri Plant,Active,13023,2024-03-05,48179.78
Coal India,Mining,CIL-400135,"REDUCER, Carbon Steel, SIZE 2 in 300#",Pipes & Fittings,Reducer,API 5L,Carbon Steel,2 in,,50 mm,None,MTR,Jindal Pipes,JINPIP-R-2in-58,Korba Coalfields,Active,9545,2024-09-17,53657.46
SAIL,Steel,SAIL-300146,STORES ITEM DN 100 Ball Valve - ASTM A351 CF8M 300#,Valves,Ball Valve,ASME B16.34,ASTM A351 CF8M,DN 100,,DN 100,Galvanized,NOS,KSB,KSB-BV-DN100-99,Durgapur Steel Plant,Active,9099,2024-10-21,57127.89
BHEL,Heavy Engineering,BHEL-500146,IND.DN 100 BV - ASTM A216 WCB 150#,Valves,Ball Valve,ASME B16.34,ASTM A216 WCB,DN 100,,DN 100,Galvanized,NOS,KSB,KSB-BV-DN100-02,Trichy Complex,Obsolete,388,2024-04-11,63815.74
BHEL,Heavy Engineering,BHEL-500147,Flange 600# Carbon Steel DN 80,Pipes & Fittings,Flange,IS 1239,Carbon Steel,DN 80,3 m,DN 80,Epoxy Coated,MTR,ISMT,ISM-F-DN80-16,Trichy Complex,Obsolete,1907,2025-04-07,22852.1
SAIL,Steel,SAIL-300147,Flange DN 80 Alloy Steel 150#,Pipes & Fittings,Flange,IS 1239,Alloy Steel,DN 80,3 m,DN 80,Epoxy Coated,MTR,ISMT,ISM-F-DN80-11,Durgapur Steel Plant,Active,3151,2025-07-12,24916.18
NTPC,Power,NTPC-200139,IND.Roller Bearing 600# Stainless Steel 6304,Bearings,Roller Bearing,ISO 15,Stainless Steel,6304,,,,NOS,FAG,FAG-RB-6304-50,Vindhyachal STPS,Active,3165,2025-09-27,4604.65
BHEL,Heavy Engineering,BHEL-500148,STORES ITEM ROLLER BRG 6304 Stainless Steel 300#,Bearings,Roller Bearing,ISO 15,Stainless Steel,6304,,,,NOS,FAG,FAG-RB-6304-26,Bhopal Complex,Active,5873,2024-01-18,4638.72
IOCL,Oil & Gas,IOCL-110130,3C x 95 sq mm Induction Motor - Copper 600#,Electrical,Induction Motor,IS 7098,Copper,3C x 95 sq mm,100 m,,,MTR,BHEL,BHE-IM-3Cx95sqmm-16,Haldia Refinery,Active,7023,2024-10-27,20943.11
SAIL,Steel,SAIL-300148,SPARE-INDUCTION MOTOR 150# Copper 3C x 95 sq mm,Electrical,Induction Motor,IS 7098,Copper,3C x 95 sq mm,100 m,,,MTR,BHEL,BHE-IM-3Cx95sqmm-20,Bokaro Steel Plant,Obsolete,6010,2024-03-17,20822.9
SAIL,Steel,SAIL-300149,SPARE-2 in Gate Valve - SS316 300#,Valves,Gate Valve,API 598,SS316,2 in,,,,NOS,Leader Valves,LEAVAL-GV-2in-99,Durgapur Steel Plant,Active,9589,2024-03-21,22163.92
NMDC,Mining,NMDC-410141,SPARE-2 in Gate Valve - SS304 150#,Valves,Gate Valve,API 598,SS304,2 in,,,,NOS,Leader Valves,LEAVAL-GV-2in-74,Kirandul Complex,Slow-Moving,717,2024-11-15,25518.28
NMDC,Mining,NMDC-410142,"STORES ITEM Ball Valve, ASTM A216 WCB, SIZE 1/2 in 150#",Valves,Ball Valve,API 600,ASTM A216 WCB,1/2 in,,1/2 in,,NOS,Fouress,FOU-BV-1-2in-72,Kirandul Complex,Active,9372,2025-12-18,47959.12
HPCL,Oil & Gas,HPCL-120143,Ball Valve 300# ASTM A351 CF8M 1/2 in,Valves,Ball Valve,API 600,ASTM A351 CF8M,1/2 in,,1/2 in,,NOS,Fouress,FOU-BV-1-2in-66,Bhatinda Refinery,Active,12007,2024-07-11,47003.7
BHEL,Heavy Engineering,BHEL-500149,"IND.VERTICAL TURBINE PUMP, Carbon Steel, SIZE DN 80 600#",Pumps,Vertical Turbine Pump,IS 1520,Carbon Steel,DN 80,,,PTFE Lined,SET,WPIL,WPI-VTP-DN80-79,Trichy Complex,Active,1927,2025-02-19,106736.58
